t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
1,31.139536444000004,17.41245096,52.468438984,26.85311274,61.0,24.93428754,24.949012871,18.60214692,61.0,28.733571870000002
2,29.00664619,16.363488540000002,54.008251248,27.34346229,58.867109746000004,23.66785941,24.018376558,17.886756690000002,60.375799199999996,27.4947237
3,26.873755936,15.314526120000002,51.875360994000005,26.294499870000003,56.734219492,22.40143128,22.454249998999998,16.620328559999997,57.800728669,26.22829557
4,24.740865682000003,14.265563700000001,49.74247074,25.245537449999997,54.601329238,21.135003180000002,21.661768803999998,15.35390043,55.225658199,24.96186744
5,22.607975428,13.216601279999999,47.938370059,24.196575029999998,52.468438984,19.86857505,21.131711317,14.087472329999999,53.683936818,23.69543934
6,20.475085174,12.16763886,46.599476972,23.14761261,50.33554873,18.60214692,20.66710073,12.8210442,53.270063591,22.42901121
7,18.34219492,11.11867644,45.46367393,22.09865019,48.202658476,17.33571882,20.195245783,11.5546161,53.281495052000004,21.16258311
8,16.209304666,10.069714020000001,44.545610814999996,21.04968777,46.069768222,16.06929069,19.703848876000002,10.59787401,53.181438155,19.90207947
9,14.076414412,9.056975430000001,43.912927721,20.00072535,44.078270295,14.92802388,19.305298483,10.099569509999998,52.797395819,18.89396904
10,12.786755645,8.671378950000001,43.068371619,18.95176293,42.784658301,14.305006109999999,19.129597987,9.81721017,52.317166304,18.2169633
11,12.185823966,8.67362844,42.11309521,17.902800510000002,42.052344029,13.98599799,19.136188915,9.65496621,51.813927833,17.7383157
12,11.85521458,8.83373592,41.261784029000005,16.9685541,41.696638572,13.79290149,19.285784461,9.596475120000001,51.371410043,17.46140646
13,11.63389682,9.0920127,40.470131641,16.34610618,41.395670427999995,13.63570245,19.557976038,9.61701288,50.980994854,17.33338074
14,11.495146830000001,9.291986790000001,39.411553806,15.93781923,41.120448188000005,13.51352481,19.870139817000002,9.7357836,50.677887379,17.34556233
15,11.374960604,9.49617744,38.266402758,15.599257199999998,40.859689658,13.40089755,20.291141626,10.021556969999999,50.336922816,17.43250329
16,11.281528734,9.67758249,37.082322608,15.3056514,40.609710742999994,13.2928323,20.733595122,10.44006891,49.990544686,17.58616329
17,11.208111085999999,9.79927848,35.930856474,15.015901619999998,40.409306345,13.20921804,21.231595645,10.86460425,49.588090171000005,17.77942083
18,11.149250173,9.86130498,34.833208322000004,14.719956960000001,40.342781453,13.139099159999999,21.612187027999997,11.38826988,49.049037746,18.01495521
19,11.049806631,9.44087016,33.726469400999996,14.50118853,40.951868282999996,13.10111463,21.115382288,12.53586438,49.741244762,18.77202129
20,11.020476977,9.09964197,32.483296782000004,14.208205079999999,41.175150914,13.195703069999999,20.552653018,13.62207135,49.984587182000006,19.433765190000003
21,11.071222511,8.83520496,31.310757954000003,13.894557899999999,41.111751113,13.31143671,19.879697114,14.495152469999999,50.146314102999995,19.99796109
22,11.11667172,8.65170966,30.469197318,13.69685436,40.927160965000006,13.4022177,19.352857987,14.99967345,50.255610853,20.31611691
23,11.16338857,8.54246157,29.785507305,13.43203797,40.562316122000006,13.467741570000001,18.982840527,15.32597916,50.368461463,20.49123015
24,11.192557489,8.49838689,29.242365867,13.12544184,40.071235195,13.50347649,18.731531202,15.535698989999998,50.474438837,20.62320597
25,11.204602183,8.49468297,28.762769776,12.79707243,39.515627552999995,13.5296655,18.524076179999998,15.690635790000002,50.568880867000004,20.74580523
26,11.214411227,8.54273157,28.435715409,12.4498239,38.887843796,13.54157595,18.284759943,15.753778619999999,50.647316802,20.89984788
27,11.299112472,8.69064333,30.568605663,12.071829600000001,38.135687626999996,13.55624601,18.082523776,15.985176719999998,50.572846965000004,21.48098901
28,11.469929308000001,8.828346719999999,32.061854736,11.68989276,37.065047103,13.590443489999998,17.963438295,15.4660689,50.234814916,22.39928919
29,11.589585688,8.81158521,32.476003683,11.353657140000001,35.813934846,13.59603963,17.851346159000002,14.259717,49.804246233,23.0006583
30,12.014775391,8.911712640000001,32.128272329,11.13207567,34.645472099,13.79323569,18.116509682,13.77597042,48.390881052,22.96129737
31,12.114103338000001,8.87210331,32.274738636,10.976983709999999,33.918008852,13.818178739999999,18.143420503,12.7146507,47.603131932000004,23.05297977
32,12.050312161,8.70305154,32.379115675,10.91687733,33.538900684,13.77750378,18.195776193,11.44822257,47.143736174,23.255998379999998
33,11.955902888,8.50035669,32.716191976,10.87502955,33.280190534,13.7582415,18.367618134,10.18179447,46.881100918,23.424636149999998
34,11.787302121,8.39298894,34.119724262,10.836894059999999,33.112659158,13.70613693,18.629026618999998,8.915366339999999,46.740387094000006,23.60144157
35,11.589248114,8.53614336,35.993845135,10.85107908,33.07936243,13.63333557,18.934168748999998,7.648938210000001,46.621897522,23.76160449
36,11.369733025999999,8.78891331,36.629827109000004,10.89995358,33.197528824,13.51981377,19.113110419,6.38251011,46.581808383,23.927965320000002
37,11.215322567,9.08719605,36.481796701,10.96630446,33.410079054,13.38818427,19.081649730000002,5.11608198,46.621491201000005,24.064760370000002
38,11.155513043000001,9.414810600000001,36.017467202000006,11.06424792,33.714995667,13.25912274,18.837253779,4.08978618,46.716361389999996,24.21420387
39,11.188530879,9.73503969,35.510857566,11.14069593,33.940627408000005,13.15168842,18.288244750999997,3.55243932,46.829130199,24.44625015
40,11.272154193,10.01100279,35.418730059,11.23317312,34.19303394,13.05634863,17.648118498,3.35752809,46.87483817,24.67547532
41,11.383054816,10.24970598,35.528901061,11.346637229999999,34.49377552999999,12.97561383,16.835959069,3.34623108,46.896400999,24.86455431
42,11.527586691000002,10.45638783,35.713451315,11.47699848,34.819464961,12.90419319,15.736685938,3.46014957,46.832222716000004,24.95969607
43,11.701583823,10.63197531,35.984808229,11.618165580000001,35.128412332,12.83302182,14.387088388,3.5947907399999997,46.699441149,25.01289039
44,11.893629513,10.76137698,36.317570487999994,11.77159179,35.410059214,12.75793659,12.88258817,3.6125061,46.458682994,25.03618104
45,12.079012783000001,10.86581433,36.783531126999996,11.93540859,35.673703959,12.67873188,11.433971516,3.78556086,46.033538187000005,25.00121892
46,12.275604498,10.946025930000001,37.243252198,12.12134268,35.942433542,12.584940479999998,10.121507289,4.0529154300000005,45.46324815,24.92411307
47,12.544716185,11.99498835,37.839028035000005,12.26172117,36.110192997,12.42355065,7.786809454,4.43849388,45.01593393,24.93376911
